"V1" "V2" "V3" "V4"
270 1 1 0.01
271 1 1 0.01
272 1 1 0.01
273 1 1 0.01
274 1 1 0.01
275 1 1 0.01
276 1 1 0.01
277 1 1 0.01
278 1 1 0.01
279 1 1 0.01
280 1 1 0.01
281 1 1 0.01
282 1 1 0.01
283 1 1 0.01
284 1 1 0.01
285 1 1 0.01
286 1 1 0.01
287 1 1 0.01
288 1 1 0.01
289 1 1 0.01
290 1 1 0.01
291 1 1 0.01
292 1 1 0.01
293 1 1 0.01
294 1 1 0.01
295 1 1 0.01
296 1 1 0.01
297 1 1 0.01
298 1 1 0.01
299 1 1 0.01
300 1 1 0.01
301 1 1 0.01
302 1 1 0.01
303 1 1 0.01
304 1 1 0.01
305 1 1 0.01
306 1 1 0.01
307 1 1 0.01
308 1 1 0.01
309 1 1 0.01
310 1 1 0.01
311 1 1 0.01
312 1 1 0.01
313 1 1 0.01
314 1 1 0.01
315 1 1 0.01
316 1 1 0.01
317 1 1 0.01
318 1 1 0.01
319 1 1 0.01
320 1 1 0.01
321 1 1 0.01
322 1 1 0.01
323 1 1 0.01
324 1 1 0.01
325 1 1 0.01
326 1 1 0.01
327 1 1 0.01
328 1 1 0.01
329 1 1 0.01
330 1 1 0.01
331 1 1 0.01
332 1 1 0.01
333 1 1 0.01
334 1 1 0.01
335 1 1 0.01
336 1 1 0.01
337 1 1 0.01
338 1 1 0.01
339 1 1 0.01
340 1 1 0.01
341 1 1 0.01
342 1 1 0.01
343 1 1 0.01
344 1 1 0.01
345 1 1 0.01
346 1 1 0.01
347 1 1 0.01
348 1 1 0.01
349 1 1 0.01
350 1 1 0.01
351 1 1 0.01
352 1 1 0.01
353 1 1 0.01
354 1 1 0.01
355 1 1 0.01
356 1 1 0.01
357 1 1 0.01
358 1 1 0.01
359 1 1 0.01
360 1 1 0.01
361 1 1 0.01
362 1 1 0.01
363 1 1 0.01
364 1 1 0.01
365 1 1 0.01
366 1 1 0.01
367 1 1 0.01
368 1 1 0.01
369 1 1 0.01
370 1 1 0.01
371 1 1 0.01
372 1 1 0.01
373 1 1 0.01
374 1 1 0.01
375 1 1 0.01
376 1 1 0.01
377 1 1 0.01
378 1 1 0.01
379 1 1 0.01
380 1 1 0.01
381 1 1 0.01
382 1 1 0.01
383 1 1 0.01
384 1 1 0.01
385 1 1 0.01
386 1 1 0.01
387 1 1 0.01
388 1 1 0.01
389 1 1 0.01
390 1 1 0.01
391 1 1 0.01
392 1 1 0.01
393 1 1 0.01
394 1 1 0.01
395 1 1 0.01
396 1 1 0.01
397 1 1 0.01
398 1 1 0.01
399 1 1 0.01
400 1 1 0.01
401 1 1 0.01
402 1 1 0.01
403 1 1 0.01
404 1 1 0.01
405 1 1 0.01
406 1 1 0.01
407 1 1 0.01
408 1 1 0.01
409 1 1 0.01
410 1 1 0.01
411 1 1 0.01
412 1 1 0.01
413 1 1 0.01
414 1 1 0.01
415 1 1 0.01
416 1 1 0.01
417 1 1 0.01
418 1 1 0.01
419 1 1 0.01
420 1 1 0.01
421 1 1 0.01
422 1 1 0.01
423 1 1 0.01
424 1 1 0.01
425 1 1 0.01
426 1 1 0.01
427 1 1 0.01
428 1 1 0.01
429 1 1 0.01
430 1 1 0.01
431 1 1 0.01
432 1 1 0.01
433 1 1 0.01
434 1 1 0.01
435 1 1 0.01
436 1 1 0.01
437 1 1 0.01
438 1 1 0.01
439 1 1 0.01
440 1 1 0.01
441 1 1 0.01
442 1 1 0.01
443 1 1 0.01
444 1 1 0.01
445 1 1 0.01
446 1 1 0.01
447 1 1 0.01
448 1 1 0.01
449 1 1 0.01
450 1 1 0.01
451 1 1 0.01
452 1 1 0.01
453 1 1 0.01
454 1 1 0.01
455 1 1 0.01
456 1 1 0.01
457 1 1 0.01
458 1 1 0.01
459 1 1 0.01
460 1 1 0.01
461 1 1 0.01
462 1 1 0.01
463 1 1 0.01
464 1 1 0.01
465 1 1 0.01
466 1 1 0.01
467 1 1 0.01
468 1 1 0.01
469 1 1 0.01
470 1 1 0.01
471 1 1 0.01
472 1 1 0.01
473 1 1 0.01
474 1 1 0.01
475 1 1 0.01
476 1 1 0.01
477 1 1 0.01
478 1 1 0.01
479 1 1 0.01
480 1 1 0.01
481 1 1 0.01
482 1 1 0.01
483 1 1 0.01
484 1 1 0.01
485 1 1 0.01
486 1 1 0.01
487 1 1 0.01
488 1 1 0.01
489 1 1 0.01
490 1 1 0.01
491 1 1 0.01
492 1 1 0.01
493 1 1 0.01
494 1 1 0.01
495 1 1 0.01
496 1 1 0.01
497 1 1 0.01
498 1 1 0.01
499 1 1 0.01
500 1 1 0.01
501 1 1 0.01
502 1 1 0.01
503 1 1 0.01
504 1 1 0.01
505 1 1 0.01
506 1 1 0.01
507 1 1 0.01
508 1 1 0.01
509 1 1 0.01
510 1 1 0.01
511 1 1 0.01
512 1 1 0.01
513 1 1 0.01
514 1 1 0.01
515 1 1 0.01
516 1 1 0.01
517 1 1 0.01
518 1 1 0.01
519 1 1 0.01
520 1 1 0.01
521 1 1 0.01
522 1 1 0.01
523 1 1 0.01
524 1 1 0.01
525 1 1 0.01
526 1 1 0.01
527 1 1 0.01
528 1 1 0.01
529 1 1 0.01
530 1 1 0.01
531 1 1 0.01
532 1 1 0.01
533 1 1 0.01
534 1 1 0.01
535 1 1 0.01
536 1 1 0.01
537 1 1 0.01
538 1 1 0.01
539 1 1 0.01
540 1 1 0.01
541 1 1 0.01
542 1 1 0.01
543 1 1 0.01
544 1 1 0.01
545 1 1 0.01
546 1 1 0.01
547 1 1 0.01
548 1 1 0.01
549 1 1 0.01
550 1 1 0.01
551 1 1 0.01
552 1 1 0.01
553 1 1 0.01
554 1 1 0.01
555 1 1 0.01
556 1 1 0.01
557 1 1 0.01
558 1 1 0.01
559 1 1 0.01
560 1 1 0.01
561 1 1 0.01
562 1 1 0.01
563 1 1 0.01
564 1 1 0.01
565 1 1 0.01
566 1 1 0.01
567 1 1 0.01
568 1 1 0.01
569 1 1 0.01
570 1 1 0.01
571 1 1 0.01
572 1 1 0.01
573 1 1 0.01
574 1 1 0.01
575 1 1 0.01
576 1 1 0.01
577 1 1 0.01
578 1 1 0.01
579 1 1 0.01
580 1 1 0.01
581 1 1 0.01
582 1 1 0.01
583 1 1 0.01
584 1 1 0.01
585 1 1 0.01
586 1 1 0.01
587 1 1 0.01
588 1 1 0.01
589 1 1 0.01
590 1 1 0.01
591 1 1 0.01
592 1 1 0.01
593 1 1 0.01
594 1 1 0.01
595 1 1 0.01
596 1 1 0.01
597 1 1 0.01
598 1 1 0.01
599 1 1 0.01
600 1 1 0.01
601 1 1 0.01
602 1 1 0.01
603 1 1 0.01
604 1 1 0.01
605 1 1 0.01
606 1 1 0.01
607 1 1 0.01
608 1 1 0.01
609 1 1 0.01
610 1 1 0.01
611 1 1 0.01
612 1 1 0.01
613 1 1 0.01
614 1 1 0.01
615 1 1 0.01
616 1 1 0.01
617 1 1 0.01
618 1 1 0.01
619 1 1 0.01
620 1 1 0.01
621 1 1 0.01
622 1 1 0.01
623 1 1 0.01
624 1 1 0.01
625 1 1 0.01
626 1 1 0.01
627 1 1 0.01
628 1 1 0.01
629 1 1 0.01
630 1 1 0.01
631 1 1 0.01
632 1 1 0.01
633 1 1 0.01
634 1 1 0.01
635 1 1 0.01
636 1 1 0.01
637 1 1 0.01
638 1 1 0.01
639 1 1 0.01
640 1 1 0.01
641 1 1 0.01
642 1 1 0.01
643 1 1 0.01
644 1 1 0.01
645 1 1 0.01
646 1 1 0.01
647 1 1 0.01
648 1 1 0.01
649 1 1 0.01
650 1 1 0.01
651 1 1 0.01
652 1 1 0.01
653 1 1 0.01
654 1 1 0.01
655 1 1 0.01
656 1 1 0.01
657 1 1 0.01
658 1 1 0.01
659 1 1 0.01
660 1 1 0.01
661 1 1 0.01
662 1 1 0.01
663 1 1 0.01
664 1 1 0.01
665 1 1 0.01
666 1 1 0.01
667 1 1 0.01
668 1 1 0.01
669 1 1 0.01
670 1 1 0.01
671 1 1 0.01
672 1 1 0.01
673 1 1 0.01
674 1 1 0.01
675 1 1 0.01
676 1 1 0.01
677 1 1 0.01
678 1 1 0.01
679 1 1 0.01
680 1 1 0.01
681 1 1 0.01
682 1 1 0.01
683 1 1 0.01
684 1 1 0.01
685 1 1 0.01
686 1 1 0.01
687 1 1 0.01
688 1 1 0.01
689 1 1 0.01
690 1 1 0.01
691 1 1 0.01
692 1 1 0.01
693 1 1 0.01
694 1 1 0.01
695 1 1 0.01
696 1 1 0.01
697 1 1 0.01
698 1 1 0.01
699 1 1 0.01
700 1 1 0.01
701 1 1 0.01
702 1 1 0.01
703 1 1 0.01
704 1 1 0.01
705 1 1 0.01
706 1 1 0.01
707 1 1 0.01
708 1 1 0.01
709 1 1 0.01
710 1 1 0.01
711 1 1 0.01
712 1 1 0.01
713 1 1 0.01
714 1 1 0.01
715 1 1 0.01
716 1 1 0.01
717 1 1 0.01
718 1 1 0.01
719 1 1 0.01
720 1 1 0.01
721 1 1 0.01
722 1 1 0.01
723 1 1 0.01
724 1 1 0.01
725 1 1 0.01
726 1 1 0.01
727 1 1 0.01
728 1 1 0.01
729 1 1 0.01
730 1 1 0.01
731 1 1 0.01
732 1 1 0.01
733 1 1 0.01
734 1 1 0.01
735 1 1 0.01
736 1 1 0.01
737 1 1 0.01
738 1 1 0.01
739 1 1 0.01
740 1 1 0.01
741 1 1 0.01
742 1 1 0.01
743 1 1 0.01
744 1 1 0.01
745 1 1 0.01
746 1 1 0.01
747 1 1 0.01
748 1 1 0.01
749 1 1 0.01
750 1 1 0.01
751 1 1 0.01
752 1 1 0.01
753 1 1 0.01
754 1 1 0.01
755 1 1 0.01
756 1 1 0.01
757 1 1 0.01
758 1 1 0.01
759 1 1 0.01
760 1 1 0.01
761 1 1 0.01
762 1 1 0.01
763 1 1 0.01
764 1 1 0.01
765 1 1 0.01
766 1 1 0.01
767 1 1 0.01
768 1 1 0.01
769 1 1 0.01
770 1 1 0.01
771 1 1 0.01
772 1 1 0.01
773 1 1 0.01
774 1 1 0.01
775 1 1 0.01
776 1 1 0.01
777 1 1 0.01
778 1 1 0.01
779 1 1 0.01
780 1 1 0.01
781 1 1 0.01
782 1 1 0.01
783 1 1 0.01
784 1 1 0.01
785 1 1 0.01
786 1 1 0.01
787 1 1 0.01
788 1 1 0.01
789 1 1 0.01
790 1 1 0.01
791 1 1 0.01
792 1 1 0.01
793 1 1 0.01
794 1 1 0.01
795 1 1 0.01
796 1 1 0.01
797 1 1 0.01
798 1 1 0.01
799 1 1 0.01
800 1 1 0.01
801 1 1 0.01
802 1 1 0.01
803 1 1 0.01
804 1 1 0.01
805 1 1 0.01
806 1 1 0.01
807 1 1 0.01
808 1 1 0.01
809 1 1 0.01
810 1 1 0.01
811 1 1 0.01
812 1 1 0.01
813 1 1 0.01
814 1 1 0.01
815 1 1 0.01
816 1 1 0.01
817 1 1 0.01
818 1 1 0.01
819 1 1 0.01
820 1 1 0.01
821 1 1 0.01
822 1 1 0.01
823 1 1 0.01
824 1 1 0.01
825 1 1 0.01
826 1 1 0.01
827 1 1 0.01
828 1 1 0.01
829 1 1 0.01
830 1 1 0.01
831 1 1 0.01
832 1 1 0.01
833 1 1 0.01
834 1 1 0.01
835 1 1 0.01
836 1 1 0.01
837 1 1 0.01
838 1 1 0.01
839 1 1 0.01
840 1 1 0.01
841 1 1 0.01
842 1 1 0.01
843 1 1 0.01
844 1 1 0.01
845 1 1 0.01
846 1 1 0.01
847 1 1 0.01
848 1 1 0.01
849 1 1 0.01
850 1 1 0.01
851 1 1 0.01
852 1 1 0.01
853 1 1 0.01
854 1 1 0.01
855 1 1 0.01
856 1 1 0.01
857 1 1 0.01
858 1 1 0.01
859 1 1 0.01
860 1 1 0.01
861 1 1 0.01
862 1 1 0.01
863 1 1 0.01
864 1 1 0.01
865 1 1 0.01
866 1 1 0.01
867 1 1 0.01
868 1 1 0.01
869 1 1 0.01
870 1 1 0.01
871 1 1 0.01
872 1 1 0.01
873 1 1 0.01
874 1 1 0.01
875 1 1 0.01
876 1 1 0.01
877 1 1 0.01
878 1 1 0.01
879 1 1 0.01
880 1 1 0.01
881 1 1 0.01
882 1 1 0.01
883 1 1 0.01
884 1 1 0.01
885 1 1 0.01
886 1 1 0.01
887 1 1 0.01
888 1 1 0.01
889 1 1 0.01
890 1 1 0.01
891 1 1 0.01
892 1 1 0.01
893 1 1 0.01
894 1 1 0.01
895 1 1 0.01
896 1 1 0.01
897 1 1 0.01
898 1 1 0.01
899 1 1 0.01
900 1 1 0.01
901 1 1 0.01
902 1 1 0.01
903 1 1 0.01
904 1 1 0.01
905 1 1 0.01
906 1 1 0.01
907 1 1 0.01
908 1 1 0.01
909 1 1 0.01
910 1 1 0.01
911 1 1 0.01
912 1 1 0.01
913 1 1 0.01
914 1 1 0.01
915 1 1 0.01
916 1 1 0.01
917 1 1 0.01
918 1 1 0.01
919 1 1 0.01
920 1 1 0.01
921 1 1 0.01
922 1 1 0.01
923 1 1 0.01
924 1 1 0.01
925 1 1 0.01
926 1 1 0.01
927 1 1 0.01
928 1 1 0.01
929 1 1 0.01
930 1 1 0.01
931 1 1 0.01
932 1 1 0.01
933 1 1 0.01
934 1 1 0.01
935 1 1 0.01
936 1 1 0.01
937 1 1 0.01
938 1 1 0.01
939 1 1 0.01
940 1 1 0.01
941 1 1 0.01
942 1 1 0.01
943 1 1 0.01
944 1 1 0.01
945 1 1 0.01
946 1 1 0.01
947 1 1 0.01
948 1 1 0.01
949 1 1 0.01
950 1 1 0.01
951 1 1 0.01
952 1 1 0.01
953 1 1 0.01
954 1 1 0.01
955 1 1 0.01
956 1 1 0.01
957 1 1 0.01
958 1 1 0.01
959 1 1 0.01
960 1 1 0.01
961 1 1 0.01
962 1 1 0.01
963 1 1 0.01
964 1 1 0.01
965 1 1 0.01
966 1 1 0.01
967 1 1 0.01
968 1 1 0.01
969 1 1 0.01
970 1 1 0.01
971 1 1 0.01
972 1 1 0.01
973 1 1 0.01
974 1 1 0.01
975 1 1 0.01
976 1 1 0.01
977 1 1 0.01
978 1 1 0.01
979 1 1 0.01
980 1 1 0.01
981 1 1 0.01
982 1 1 0.01
983 1 1 0.01
984 1 1 0.01
985 1 1 0.01
986 1 1 0.01
987 1 1 0.01
988 1 1 0.01
989 1 1 0.01
990 1 1 0.01
991 1 1 0.01
992 1 1 0.01
993 1 1 0.01
994 1 1 0.01
995 1 1 0.01
996 1 1 0.01
997 1 1 0.01
998 1 1 0.01
999 1 1 0.01
1000 1 1 0.01
1001 1 1 0.01
1002 1 1 0.01
1003 1 1 0.01
1004 1 1 0.01
1005 1 1 0.01
1006 1 1 0.01
1007 1 1 0.01
1008 1 1 0.01
1009 1 1 0.01
1010 1 1 0.01
1011 1 1 0.01
1012 1 1 0.01
1013 1 1 0.01
1014 1 1 0.01
1015 1 1 0.01
1016 1 1 0.01
1017 1 1 0.01
1018 1 1 0.01
1019 1 1 0.01
1020 1 1 0.01
1021 1 1 0.01
1022 1 1 0.01
1023 1 1 0.01
1024 1 1 0.01
1025 1 1 0.01
1026 1 1 0.01
1027 1 1 0.01
1028 1 1 0.01
1029 1 1 0.01
1030 1 1 0.01
1031 1 1 0.01
1032 1 1 0.01
1033 1 1 0.01
1034 1 1 0.01
1035 1 1 0.01
1036 1 1 0.01
1037 1 1 0.01
1038 1 1 0.01
1039 1 1 0.01
1040 1 1 0.01
1041 1 1 0.01
1042 1 1 0.01
1043 1 1 0.01
1044 1 1 0.01
1045 1 1 0.01
1046 1 1 0.01
1047 1 1 0.01
1048 1 1 0.01
1049 1 1 0.01
1050 1 1 0.01
1051 1 1 0.01
1052 1 1 0.01
1053 1 1 0.01
1054 1 1 0.01
1055 1 1 0.01
1056 1 1 0.01
1057 1 1 0.01
1058 1 1 0.01
1059 1 1 0.01
1060 1 1 0.01
1061 1 1 0.01
1062 1 1 0.01
1063 1 1 0.01
1064 1 1 0.01
1065 1 1 0.01
1066 1 1 0.01
1067 1 1 0.01
1068 1 1 0.01
1069 1 1 0.01
1070 1 1 0.01
1071 1 1 0.01
1072 1 1 0.01
1073 1 1 0.01
1074 1 1 0.01
1075 1 1 0.01
1076 1 1 0.01
1077 1 1 0.01
1078 1 1 0.01
1079 1 1 0.01
1080 1 1 0.01
1081 1 1 0.01
1082 1 1 0.01
1083 1 1 0.01
1084 1 1 0.01
1085 1 1 0.01
1086 1 1 0.01
1087 1 1 0.01
1088 1 1 0.01
1089 1 1 0.01
1090 1 1 0.01
1091 1 1 0.01
1092 1 1 0.01
1093 1 1 0.01
1094 1 1 0.01
1095 1 1 0.01
1096 1 1 0.01
1097 1 1 0.01
1098 1 1 0.01
1099 1 1 0.01
1100 1 1 0.01
1101 1 1 0.01
1102 1 1 0.01
1103 1 1 0.01
1104 1 1 0.01
1105 1 1 0.01
1106 1 1 0.01
1107 1 1 0.01
1108 1 1 0.01
1109 1 1 0.01
1110 1 1 0.01
1111 1 1 0.01
1112 1 1 0.01
1113 1 1 0.01
1114 1 1 0.01
1115 1 1 0.01
1116 1 1 0.01
1117 1 1 0.01
1118 1 1 0.01
1119 1 1 0.01
1120 1 1 0.01
1121 1 1 0.01
1122 1 1 0.01
1123 1 1 0.01
1124 1 1 0.01
1125 1 1 0.01
1126 1 1 0.01
1127 1 1 0.01
1128 1 1 0.01
1129 1 1 0.01
1130 1 1 0.01
1131 1 1 0.01
1132 1 1 0.01
1133 1 1 0.01
1134 1 1 0.01
1135 1 1 0.01
1136 1 1 0.01
1137 1 1 0.01
1138 1 1 0.01
1139 1 1 0.01
1140 1 1 0.01
1141 1 1 0.01
1142 1 1 0.01
1143 1 1 0.01
1144 1 1 0.01
1145 1 1 0.01
1146 1 1 0.01
1147 1 1 0.01
1148 1 1 0.01
1149 1 1 0.01
1150 1 1 0.01
1151 1 1 0.01
1152 1 1 0.01
1153 1 1 0.01
1154 1 1 0.01
1155 1 1 0.01
1156 1 1 0.01
1157 1 1 0.01
1158 1 1 0.01
1159 1 1 0.01
1160 1 1 0.01
1161 1 1 0.01
1162 1 1 0.01
1163 1 1 0.01
1164 1 1 0.01
1165 1 1 0.01
1166 1 1 0.01
1167 1 1 0.01
1168 1 1 0.01
1169 1 1 0.01
1170 1 1 0.01
1171 1 1 0.01
1172 1 1 0.01
1173 1 1 0.01
1174 1 1 0.01
1175 1 1 0.01
1176 1 1 0.01
1177 1 1 0.01
1178 1 1 0.01
1179 1 1 0.01
1180 1 1 0.01
1181 1 1 0.01
1182 1 1 0.01
1183 1 1 0.01
1184 1 1 0.01
1185 1 1 0.01
1186 1 1 0.01
1187 1 1 0.01
1188 1 1 0.01
1189 1 1 0.01
1190 1 1 0.01
1191 1 1 0.01
1192 1 1 0.01
1193 1 1 0.01
1194 1 1 0.01
1195 1 1 0.01
1196 1 1 0.01
1197 1 1 0.01
1198 1 1 0.01
1199 1 1 0.01
1200 1 1 0.01
1201 1 1 0.01
1202 1 1 0.01
1203 1 1 0.01
1204 1 1 0.01
1205 1 1 0.01
1206 1 1 0.01
1207 1 1 0.01
1208 1 1 0.01
1209 1 1 0.01
1210 1 1 0.01
1211 1 1 0.01
1212 1 1 0.01
1213 1 1 0.01
1214 1 1 0.01
1215 1 1 0.01
1216 1 1 0.01
1217 1 1 0.01
1218 1 1 0.01
1219 1 1 0.01
1220 1 1 0.01
1221 1 1 0.01
1222 1 1 0.01
1223 1 1 0.01
1224 1 1 0.01
1225 1 1 0.01
1226 1 1 0.01
1227 1 1 0.01
1228 1 1 0.01
1229 1 1 0.01
1230 1 1 0.01
1231 1 1 0.01
1232 1 1 0.01
1233 1 1 0.01
1234 1 1 0.01
1235 1 1 0.01
1236 1 1 0.01
1237 1 1 0.01
1238 1 1 0.01
1239 1 1 0.01
1240 1 1 0.01
1241 1 1 0.01
1242 1 1 0.01
1243 1 1 0.01
1244 1 1 0.01
1245 1 1 0.01
1246 1 1 0.01
1247 1 1 0.01
1248 1 1 0.01
1249 1 1 0.01
1250 1 1 0.01
1251 1 1 0.01
1252 1 1 0.01
1253 1 1 0.01
1254 1 1 0.01
1255 1 1 0.01
1256 1 1 0.01
1257 1 1 0.01
1258 1 1 0.01
1259 1 1 0.01
1260 1 1 0.01
1261 1 1 0.01
1262 1 1 0.01
1263 1 1 0.01
1264 1 1 0.01
1265 1 1 0.01
1266 1 1 0.01
1267 1 1 0.01
1268 1 1 0.01
1269 1 1 0.01
1270 1 1 0.01
1271 1 1 0.01
1272 1 1 0.01
1273 1 1 0.01
1274 1 1 0.01
1275 1 1 0.01
1276 1 1 0.01
1277 1 1 0.01
1278 1 1 0.01
1279 1 1 0.01
1280 1 1 0.01
1281 1 1 0.01
1282 1 1 0.01
1283 1 1 0.01
1284 1 1 0.01
1285 1 1 0.01
1286 1 1 0.01
1287 1 1 0.01
1288 1 1 0.01
1289 1 1 0.01
1290 1 1 0.01
1291 1 1 0.01
1292 1 1 0.01
1293 1 1 0.01
1294 1 1 0.01
1295 1 1 0.01
1296 1 1 0.01
1297 1 1 0.01
1298 1 1 0.01
1299 1 1 0.01
1300 1 1 0.01
1301 1 1 0.01
1302 1 1 0.01
1303 1 1 0.01
1304 1 1 0.01
1305 1 1 0.01
1306 1 1 0.01
1307 1 1 0.01
1308 1 1 0.01
1309 1 1 0.01
1310 1 1 0.01
1311 1 1 0.01
1312 1 1 0.01
1313 1 1 0.01
1314 1 1 0.01
1315 1 1 0.01
1316 1 1 0.01
1317 1 1 0.01
1318 1 1 0.01
1319 1 1 0.01
1320 1 1 0.01
1321 1 1 0.01
1322 1 1 0.01
1323 1 1 0.01
1324 1 1 0.01
1325 1 1 0.01
1326 1 1 0.01
1327 1 1 0.01
1328 1 1 0.01
1329 1 1 0.01
1330 1 1 0.01
1331 1 1 0.01
1332 1 1 0.01
1333 1 1 0.01
1334 1 1 0.01
1335 1 1 0.01
1336 1 1 0.01
1337 1 1 0.01
1338 1 1 0.01
1339 1 1 0.01
1340 1 1 0.01
1341 1 1 0.01
1342 1 1 0.01
1343 1 1 0.01
1344 1 1 0.01
1345 1 1 0.01
1346 1 1 0.01
1347 1 1 0.01
1348 1 1 0.01
1349 1 1 0.01
1350 1 1 0.01
1351 1 1 0.01
1352 1 1 0.01
1353 1 1 0.01
1354 1 1 0.01
1355 1 1 0.01
1356 1 1 0.01
1357 1 1 0.01
1358 1 1 0.01
1359 1 1 0.01
1360 1 1 0.01
